College Name,"IIT Kanpur"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:10:15"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,17
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
IP Patents Granted/Licensed (Latest Year),Research & Innovation,1000,Key Statistics: 1000+ Patents filed,https://www.iitk.ac.in/,medium,high,high,,unknown
Entrance Exam Name,Admissions,JEE Advanced,Admission for the 52 seats (per year) in the B.S. program is through the advanced joint entrance examination (JEE).,https://www.iitk.ac.in/eco/8-about,medium,high,high,,unknown
Entrance Exam Cutoff by Program,Admissions,"{'B.Tech/BS': 'JEE Advanced', 'M.Tech': 'GATE', 'MBA': 'CAT', 'M.Sc': 'JAM/GATE'}",Admission to the B.S. program is through JEE; M.Sc. through JAM/GATE; MBA through CAT; M.Tech requires valid GATE score.,https://www.iitk.ac.in/doaa/eligibility-criteria,medium,medium,high,,unknown
Total Students Enrolled,Student Demographics,9500,9500+ Students With 1:1 UG:PG students ratio,https://www.iitk.ac.in/,medium,high,high,,unknown
Female Students Enrolled,Student Demographics,N/A,"No specific total female student count found in the provided text; only mentions of specific girls' hostels (Hall 4, Hall 6).",https://www.iitk.ac.in/counsel/new-ug-information.php,low,low,high,,unknown
Total Faculty,Faculty,570,570 Faculty Members In 20 departments [Cross-verified: 570.0],https://www.iitk.ac.in/,medium,high,high,,unknown
PhD Faculty,Faculty,N/A,Invalid source URL,,low,low,unknown,,unknown
Average Teaching Experience of Faculty,Faculty,N/A,The provided documents list faculty names and designations but do not provide individual or average experience in months/years.,https://www.iitk.ac.in/eco/8-about,low,low,high,,unknown
Sports Infrastructure & Achievements,Campus Facilities,"{'facilities': ['Badminton courts', 'Basketball courts', 'Volleyball courts', 'Table Tennis room', 'Football ground'], 'achievements': []}","Apart from these, each Hostel is provided with separate Badminton, Basketball, and Volleyball courts and a Table Tennis room. IIT Kanpur has its own Football...",https://www.iitk.ac.in/doms/data/docs/programs/mba/Information-Brochure-MBA-2025-27.pdf,medium,high,high,2025,high
List of Active Clubs,Student Life,['Chemineers’ Society'],"organized by the Chemineers’ Society, IIT Kanpur.",https://www.iitk.ac.in/che/,medium,medium,high,,unknown
NIRF Ranking,Accreditations & Rankings,N/A,Invalid source URL,,low,low,unknown,,unknown
Institutional Status,Accreditations & Rankings,Institute of National Importance,Indian Institute of Technology Kanpur... holds the distinction of being recognized as an Institute of National Importance by the Government of India through an Act of Parliament.,https://www.iitk.ac.in/phase-i-placements-for-2025-26-batch,medium,high,high,2025,high
PhD Students Enrolled,Student Demographics,N/A,Invalid source URL,,low,low,unknown,,unknown
