College Name,"IIT Hyderabad"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 13:16:43"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,20
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
Total Students Enrolled,Student Demographics,5691,Student Community 5691 Students Enrolled UG • PG • PhD [Cross-verified: 5691.0],https://www.iith.ac.in/,medium,high,high,,unknown
Female Students Enrolled,Student Demographics,N/A,Invalid source URL,,low,low,unknown,,unknown
Total Faculty,Faculty,335,"Rs. 335+ Cr funding in 2024-25, i.e. Rs. 1+ Cr per Faculty",https://www.iith.ac.in/,medium,medium,high,2024,medium
PhD Faculty,Faculty,N/A,Invalid source URL,,low,low,unknown,,unknown
Average Teaching Experience of Faculty,Faculty,N/A,Invalid source URL,,low,low,unknown,,unknown
Sports Infrastructure & Achievements,Campus Facilities,"{'facilities': ['Sports facilities on the campus (Annexure-2)', 'Gymnasium'], 'achievements': []}",Annexure-2: Sports facilities on the campus... Gymnasium mentioned in Administrative Manual.,https://www.iith.ac.in/assets/files/pdf/rti/Administrative%20Manual%20for%20IITH-Final%2023Sept21.pdf,medium,medium,high,2023,low
List of Active Clubs,Student Life,['Student Gymkhana'],"Mr Ajith Reddy P (Media & PR Secretary, Student Gymkhana)",https://iith.ac.in/assets/newsletters/Issue-24.pdf,medium,low,high,,unknown
NIRF Ranking,Accreditations & Rankings,7,National Institutional Ranking Framework (NIRF) 2025 placed the Institute at an impressive 7th position in Engineering,https://iith.ac.in/assets/newsletters/Issue-24.pdf,medium,high,high,2025,high
Institutional Status,Accreditations & Rankings,Centrally Funded Technological Autonomous Institution,The Indian Institute of Technology Hyderabad is a Centrally Funded Technological Autonomous Institution founded and registered under the Andhra Pradesh Societies Registration Act 2001,https://www.iith.ac.in/assets/files/pdf/rti/Administrative%20Manual%20for%20IITH-Final%2023Sept21.pdf,medium,high,high,2023,low
PhD Students Enrolled,Student Demographics,1576,Research Strength 1576 PhD Scholars [Cross-verified: 1576.0],https://www.iith.ac.in/,medium,high,high,,unknown
